id,GW RSSI
0,-112
1,-112
2,-114
3,-110
4,-115
5,-111
6,-109
7,-120
8,-119
9,-119
10,-118
11,-119
12,-118
13,-116
14,-120
15,-113
16,-116
17,-121
18,-112
19,-120
20,-114
21,-118
22,-121
23,-114
24,-119
25,-112
26,-112
27,-101
28,-107
29,-100
30,-113
31,-92
32,-96
33,-85
34,-97
35,-115
36,-93
37,-77
38,-87
39,-84
40,-76
41,-84
42,-99
43,-89
44,-99
45,-105
46,-108
47,-101
48,-103
49,-94
50,-101
51,-106
52,-109
53,-104
54,-95
55,-92
56,-85
57,-96
58,-98
59,-97
60,-85
61,-97
62,-91
63,-95
64,-90
65,-105
66,-107
67,-112
68,-114
69,-114
70,-119
71,-121
72,-118
73,-121
74,-119
75,-119
76,-119
77,-120
78,-119
79,-120
81,-120
82,-120
88,-118
91,-117
93,-119
94,-117
95,-120
96,-121
97,-120
98,-120
100,-120
101,-118
102,-121
103,-119
104,-118
106,-118
109,-119
110,-119
111,-120
112,-120
113,-119
114,-120
115,-119
118,-120
120,-119
121,-118
122,-121
123,-121
124,-119
125,-120
126,-120
127,-115
129,-119
130,-121
131,-120
132,-114
133,-117
134,-120
135,-117
136,-118
137,-118
138,-119
139,-120
140,-119
141,-120
142,-119
143,-120
144,-120
145,-119
146,-118
147,-111
148,-108
149,-112
150,-109
151,-107
153,-101
154,-102
155,-111
156,-113
157,-110
158,-101
159,-102
160,-113
161,-118
162,-118
163,-115
164,-111
165,-119
166,-119
167,-100
168,-112
169,-107
170,-119
171,-115
172,-108
173,-117
174,-114
175,-120
176,-119
177,-121
180,-120
181,-121
182,-119
183,-120
185,-121
186,-121
187,-119
188,-111
189,-120
191,-123
192,-113
193,-119
194,-120
195,-120
196,-112
198,-121
199,-120
202,-118
203,-121
204,-118
210,-119
211,-121
212,-117
213,-119
214,-120
215,-120
216,-119
217,-119
218,-120
219,-120
220,-118
221,-120
222,-121
223,-120
228,-120
238,-120
243,-113
244,-120
252,-120
253,-119
262,-121
263,-120
265,-121
267,-120
269,-123
270,-121
271,-119
273,-111
275,-121
276,-121
277,-119
278,-120
279,-120
280,-120
282,-113
283,-119
284,-120
285,-121
286,-118
287,-120
288,-120
289,-121
290,-116
291,-120
292,-120
293,-119
294,-120
295,-104
296,-115
297,-118
298,-118
299,-119
300,-120
301,-117
302,-113
303,-103
304,-119
305,-118
306,-120
307,-119
308,-119
309,-119
310,-121
311,-121
312,-108
313,-120
314,-121
315,-119
316,-121
317,-120
318,-118
319,-121
320,-120
321,-120
322,-120
323,-120
324,-120
325,-119
326,-120
327,-120
328,-121
329,-120
331,-119
332,-119
333,-120
334,-120
335,-120
336,-121
337,-119
338,-119
339,-120
340,-120
341,-118
342,-119
345,-118
346,-120
349,-119
350,-120
352,-118
353,-120
357,-119
358,-120
359,-104
360,-120
361,-120
364,-120
365,-119
366,-119
367,-115
368,-120
370,-120
371,-121
372,-120
373,-120
374,-120
375,-121
376,-117
377,-121
378,-120
380,-120
386,-118
387,-119
388,-118
390,-121
391,-121
392,-120
393,-120
394,-119
396,-121
399,-121
400,-115
401,-120
403,-119
404,-120
405,-121
406,-120
407,-119
408,-119
409,-120
410,-116
411,-119
412,-117
413,-117
414,-119
415,-123
416,-119
417,-121
418,-118
419,-120
420,-116
422,-120
423,-119
424,-117
425,-120
426,-109
427,-117
428,-119
429,-111
430,-103
431,-119
432,-112
433,-110
434,-114
435,-120
436,-120
437,-121
438,-117
439,-119
440,-119
441,-119
442,-114
442,-118
443,-123
444,-119
445,-117
446,-120
447,-114
448,-119
449,-118
450,-120
452,-117
453,-120
454,-118
455,-119
456,-120
457,-119
458,-120
459,-119
460,-121
461,-119
462,-119
463,-120
464,-117
465,-120
466,-113
467,-119
468,-115
470,-119
471,-120
473,-119
474,-120
480,-121
481,-119
482,-121
483,-120
485,-118
488,-120
489,-121
490,-112
491,-120
492,-103
493,-119
494,-119
495,-120
496,-120
497,-119
498,-119
499,-117
500,-117
502,-121
503,-120
504,-118
505,-101
506,-103
507,-112
521,-109
537,-120
538,-108
539,-114
540,-107
541,-107
542,-114
543,-109
544,-108
545,-120
546,-120
547,-115
548,-112
549,-119
550,-121
551,-120
552,-120
553,-121
554,-120
555,-120
556,-123
557,-113
558,-114
559,-119
560,-105
561,-117
562,-120
563,-121
564,-118
565,-119
574,-121
575,-121
576,-114
577,-119
579,-120
580,-121
581,-114
582,-120
583,-113
584,-119
585,-113
586,-120
587,-119
588,-118
589,-120
591,-118
592,-120
593,-121
594,-118
595,-116
596,-118
597,-106
598,-107
599,-107
600,-106
601,-113
602,-121
603,-120
604,-114
605,-121
606,-118
607,-120
608,-119
609,-119
610,-120
612,-119
613,-118
614,-119
616,-121
617,-120
619,-112
620,-118
621,-121
622,-119
623,-121
624,-118
625,-118
626,-119
627,-120
628,-117
629,-111
630,-112
631,-119
632,-119
633,-115
634,-119
635,-107
636,-120
637,-119
638,-120
639,-119
640,-119
641,-120
