Time,id,Latitude,Longitude,Altitude,GPS Precision,# Satellites,ED RSSI
15:49:57,18:49:57,0,-21.776934583333333,-43.37242105,930.5,1,14,-85
15:50:05,18:49:57,1,-21.776934583333333,-43.37242105,930.5,1,14,-93
15:50:13,18:50:05,2,-21.776934416666666,-43.37242065,930.5,1,14,-99
15:50:22,18:50:13,3,-21.77694045,-43.372416933333334,931.3,1,14,-99
15:50:30,18:50:22,4,-21.776863083333332,-43.37245051666667,932.5,1,14,-97
15:50:38,18:50:30,5,-21.776763083333332,-43.372420033333334,932.0,1,14,-100
15:50:46,18:50:38,6,-21.77665208333333,-43.372391,933.0,1,13,-96
15:50:54,18:50:46,7,-21.776558566666665,-43.37243001666667,933.0,1,13,-92
15:51:02,18:50:54,8,-21.776496366666667,-43.37251611666667,932.3,1,14,-95
15:51:10,18:51:02,9,-21.776490783333333,-43.37263003333333,933.0,1,14,-96
15:51:18,18:51:10,10,-21.776514583333334,-43.37273885,932.2,1,14,-102
15:51:27,18:51:18,11,-21.776560383333333,-43.372834166666664,931.2,1,14,-100
15:51:35,18:51:26,12,-21.776611016666667,-43.37291963333333,930.7,1,14,-101
15:51:43,18:51:35,13,-21.776681066666665,-43.37299853333333,931.3,1,14,-102
15:51:51,18:51:43,14,-21.776749883333334,-43.37306805,931.4,1,14,-99
15:51:59,18:51:51,15,-21.77676183333333,-43.373181233333334,932.4,1,14,-98
15:52:07,18:51:59,16,-21.776832466666665,-43.373260433333336,933.6,1,14,-97
15:52:15,18:52:07,17,-21.776908816666666,-43.373333,934.7,1,14,-101
15:52:23,18:52:15,18,-21.7769855,-43.3734024,935.4,1,14,-100
15:52:31,18:52:23,19,-21.77706196666667,-43.373474816666665,935.8,1,14,-94
15:52:40,18:52:31,20,-21.777137716666665,-43.37354105,936.1,1,14,-98
15:52:48,18:52:39,21,-21.777215283333334,-43.373611333333336,936.8,1,14,-99
15:52:56,18:52:48,22,-21.777298566666666,-43.37368706666667,938.0,1,14,-99
15:53:04,18:52:56,23,-21.777373916666665,-43.373756066666665,938.5,1,14,-95
15:53:12,18:53:04,24,-21.777449666666666,-43.37382023333333,939.7,1,14,-92
15:53:20,18:53:12,25,-21.77752555,-43.37388051666667,939.8,1,15,-89
15:53:28,18:53:20,26,-21.777593466666666,-43.37394895,941.4,1,15,-89
15:53:36,18:53:28,27,-21.777673183333334,-43.37401486666667,941.6,1,15,-87
15:53:44,18:53:36,28,-21.777748133333333,-43.37408668333333,942.6,1,15,-90
15:53:53,18:53:44,29,-21.777830483333332,-43.374157233333335,944.3,1,15,-80
15:54:01,18:53:53,30,-21.777927233333333,-43.374249733333336,943.5,1,15,-93
15:54:09,18:54:01,31,-21.778011166666666,-43.374343083333336,941.6,1,15,-88
15:54:17,18:54:09,32,-21.77809595,-43.37442003333334,941.8,1,15,-92
15:54:25,18:54:17,33,-21.778174616666668,-43.374494416666664,941.7,1,15,-92
15:54:33,18:54:25,34,-21.77825186666667,-43.374568583333335,941.2,1,15,-95
15:54:41,18:54:33,35,-21.778328533333333,-43.3746414,941.2,1,15,-87
15:54:49,18:54:41,36,-21.77841085,-43.37471133333333,941.6,1,15,-96
15:54:57,18:54:49,37,-21.77848901666667,-43.374783916666665,941.6,1,15,-95
15:55:06,18:54:57,38,-21.778566533333333,-43.374858716666665,941.7,1,15,-98
15:55:14,18:55:06,39,-21.778664866666666,-43.37492415,942.1,1,15,-92
15:55:22,18:55:14,40,-21.778753383333335,-43.37498313333333,942.8,1,15,-97
15:55:30,18:55:22,41,-21.778840766666665,-43.375061966666664,941.4,1,15,-92
15:55:38,18:55:30,42,-21.778932116666667,-43.37511301666667,941.6,1,15,-94
15:55:46,18:55:38,43,-21.7790343,-43.375113,941.9,1,15,-85
15:55:54,18:55:46,44,-21.779128866666667,-43.37506668333333,941.5,1,15,-82
15:56:02,18:55:54,45,-21.779224433333333,-43.37510353333333,941.1,1,15,-78
15:56:11,18:56:02,46,-21.779301383333333,-43.37517136666666,942.5,1,15,-81
15:56:19,18:56:10,47,-21.779385716666667,-43.37524321666667,942.4,1,15,-90
15:56:27,18:56:19,48,-21.77948365,-43.37533488333333,942.5,1,15,-79
15:56:35,18:56:27,49,-21.779569716666668,-43.37541345,941.8,1,15,-74
15:56:43,18:56:35,50,-21.779658716666667,-43.375488266666665,942.3,1,15,-78
15:56:51,18:56:43,51,-21.7797601,-43.37551448333333,944.3,1,15,-79
15:56:59,18:56:51,52,-21.779839233333334,-43.375591566666664,941.7,1,15,-82
15:57:07,18:56:59,53,-21.779920783333335,-43.375664416666666,941.5,1,15,-81
15:57:15,18:57:07,54,-21.780009266666667,-43.37574193333333,942.5,1,15,-89
15:57:24,18:57:15,55,-21.780089366666665,-43.375820016666665,943.0,1,15,-92
15:57:32,18:57:24,56,-21.780194316666666,-43.37587928333333,942.8,1,15,-98
15:57:40,18:57:32,57,-21.780283583333333,-43.37586923333333,941.2,1,15,-97
15:57:48,18:57:40,58,-21.780297766666667,-43.375865733333335,940.2,1,15,-98
15:57:56,18:57:48,59,-21.7802981,-43.3758662,940.1,1,15,-95
15:58:04,18:57:56,60,-21.780333733333332,-43.37584391666667,939.4,1,15,-89
15:58:12,18:58:04,61,-21.780392483333333,-43.37576923333334,937.5,1,15,-95
15:58:20,18:58:12,62,-21.78040895,-43.37567623333333,937.0,1,15,-92
15:58:28,18:58:20,63,-21.78032705,-43.37560625,935.5,1,15,-98
15:58:37,18:58:28,64,-21.780246516666665,-43.37553705,934.4,1,15,-92
15:58:45,18:58:37,65,-21.7801505,-43.375457266666665,933.3,1,15,-93
15:58:53,18:58:45,66,-21.780070783333333,-43.375381516666664,932.6,1,15,-92
15:59:01,18:58:53,67,-21.779986616666665,-43.375306433333336,931.9,1,15,-91
15:59:09,18:59:01,68,-21.779893216666668,-43.37525335,932.1,1,15,-92
15:59:17,18:59:09,69,-21.779809566666668,-43.3751858,931.0,1,15,-91
15:59:25,18:59:17,70,-21.77974465,-43.37510413333333,931.1,1,15,-94
15:59:33,18:59:25,71,-21.779680683333332,-43.375021133333334,930.7,1,15,-81
15:59:42,18:59:33,72,-21.77960165,-43.37494398333333,931.7,1,15,-85
15:59:50,18:59:41,73,-21.7795361,-43.37486151666667,932.3,1,15,-88
15:59:58,18:59:50,74,-21.779467366666665,-43.37475476666667,932.2,1,15,-81
16:00:06,18:59:58,75,-21.779412716666666,-43.374655516666664,933.3,1,15,-82
16:00:14,19:00:06,76,-21.77938393333333,-43.37455425,934.2,1,15,-80
16:00:22,19:00:14,77,-21.779376583333335,-43.37445026666666,935.9,1,15,-88
16:00:30,19:00:22,78,-21.779377516666667,-43.37436341666667,938.4,1,15,-82
16:00:38,19:00:30,79,-21.779373283333335,-43.374338183333336,938.5,1,15,-92
16:00:46,19:00:38,80,-21.779372633333335,-43.37433828333333,938.6,1,15,-87
16:00:55,19:00:46,81,-21.779372283333334,-43.37433828333333,938.6,1,15,-84
16:01:03,19:00:54,82,-21.77937135,-43.37433768333333,939.2,1,15,-83
16:01:11,19:01:03,83,-21.779390483333334,-43.37423943333334,940.3,1,15,-84
16:01:19,19:01:11,84,-21.779315983333333,-43.374165516666665,939.7,1,15,-91
