id,GW RSSI
0,-94
1,-93
2,-97
3,-93
4,-97
5,-96
6,-103
7,-85
8,-96
9,-88
10,-95
11,-101
12,-108
13,-95
14,-98
15,-101
16,-94
17,-100
18,-101
19,-99
20,-94
21,-97
22,-94
23,-89
24,-93
25,-85
26,-79
27,-88
28,-84
29,-84
30,-77
31,-78
32,-84
33,-90
34,-90
35,-83
36,-101
37,-92
38,-95
39,-87
40,-95
41,-84
42,-85
43,-76
44,-73
45,-73
46,-73
47,-73
48,-88
49,-73
50,-65
51,-67
52,-72
53,-75
54,-79
55,-90
56,-96
57,-91
58,-91
59,-88
60,-91
61,-94
62,-97
63,-94
64,-97
65,-90
66,-99
67,-79
68,-93
69,-89
70,-84
71,-93
72,-83
73,-87
74,-90
75,-77
76,-73
77,-82
78,-85
79,-81
80,-73
81,-67
82,-78
83,-79
84,-75
85,-70
86,-75
87,-73
88,-82
89,-88
91,-79
92,-83
93,-75
94,-72
95,-76
96,-85
97,-83
98,-79
99,-77
100,-79
101,-79
102,-73
103,-80
104,-90
105,-82
106,-89
107,-87
108,-75
109,-78
110,-82
111,-82
112,-85
113,-101
114,-88
115,-88
116,-80
117,-89
118,-95
119,-83
120,-93
121,-88
122,-95
123,-91
124,-100
125,-94
126,-91
127,-96
128,-105
129,-88
130,-93
131,-93
132,-94
133,-87
134,-103
135,-90
136,-91
137,-110
138,-101
139,-94
140,-91
141,-90
142,-101
143,-99
144,-95
145,-97
146,-111
147,-96
148,-97
149,-104
150,-105
151,-102
152,-103
153,-115
154,-106
155,-110
156,-117
157,-109
158,-119
159,-120
160,-108
161,-120
162,-113
163,-108
164,-113
165,-110
166,-111
167,-111
168,-105
169,-103
170,-105
171,-113
172,-115
173,-110
174,-115
175,-102
176,-106
177,-103
178,-102
179,-114
180,-111
181,-111
182,-113
183,-108
184,-113
185,-111
186,-106
187,-106
188,-100
189,-104
190,-115
191,-113
192,-113
193,-118
194,-117
195,-112
196,-113
197,-108
198,-105
199,-112
200,-119
201,-117
202,-117
203,-112
204,-115
205,-116
206,-115
207,-114
208,-118
209,-111
210,-119
211,-111
212,-116
213,-113
214,-121
215,-123
216,-119
217,-117
218,-117
219,-114
220,-120
221,-120
222,-119
223,-121
224,-120
225,-117
227,-117
228,-118
229,-121
230,-120
233,-120
234,-120
235,-118
236,-120
237,-119
238,-118
239,-118
240,-121
241,-120
242,-118
243,-119
244,-113
245,-119
246,-120
248,-112
250,-120
251,-120
252,-120
253,-120
254,-120
255,-119
256,-119
257,-112
258,-118
259,-119
260,-119
261,-120
262,-118
263,-121
264,-113
265,-121
266,-109
267,-121
268,-119
269,-120
270,-120
271,-123
273,-121
274,-121
275,-121
276,-115
277,-114
278,-109
279,-113
280,-113
281,-121
282,-114
283,-119
284,-114
285,-117
286,-119
287,-120
288,-120
289,-121
290,-119
291,-123
292,-120
293,-119
294,-117
295,-117
296,-115
297,-120
298,-118
299,-112
300,-104
301,-123
302,-114
303,-121
304,-119
305,-113
306,-121
307,-117
308,-114
309,-121
310,-113
311,-115
312,-117
313,-120
314,-118
315,-121
316,-114
317,-120
318,-115
319,-120
320,-111
321,-117
322,-113
323,-125
324,-120
325,-119
326,-108
327,-121
328,-113
329,-117
330,-109
331,-107
332,-103
333,-114
334,-108
335,-121
336,-106
337,-118
338,-109
339,-108
340,-107
341,-119
342,-112
343,-113
344,-120
345,-118
346,-107
347,-121
348,-116
349,-120
350,-118
351,-114
352,-112
353,-114
354,-101
355,-119
356,-110
357,-123
358,-109
359,-121
360,-117
361,-117
362,-108
363,-118
364,-119
365,-121
366,-108
367,-120
368,-111
369,-114
370,-115
371,-110
372,-113
373,-107
374,-101
375,-113
376,-104
377,-115
378,-109
379,-117
380,-114
381,-119
382,-103
383,-119
384,-113
385,-120
386,-115
387,-108
388,-113
389,-120
390,-117
391,-121
392,-111
393,-121
394,-113
395,-119
396,-120
397,-121
398,-109
399,-113
400,-109
401,-111
402,-114
403,-113
404,-121
405,-123
406,-119
407,-121
408,-117
409,-114
411,-121
412,-119
413,-120
414,-118
415,-118
416,-120
417,-119
418,-120
419,-121
420,-113
421,-123
423,-121
424,-117
425,-115
426,-109
427,-118
428,-107
429,-119
430,-115
431,-121
432,-114
433,-117
434,-111
435,-120
436,-117
437,-117
438,-108
439,-123
440,-115
441,-106
442,-117
443,-121
444,-106
445,-106
446,-108
447,-103
448,-103
449,-111
450,-105
451,-107
452,-96
453,-107
454,-99
455,-99
456,-98
457,-119
458,-113
459,-121
460,-117
461,-121
462,-120
463,-119
464,-119
465,-112
466,-115
467,-113
468,-117
469,-117
470,-97
471,-99
472,-102
473,-103
474,-100
475,-100
476,-95
477,-119
478,-100
479,-109
480,-99
481,-119
482,-105
483,-108
484,-95
485,-115
486,-101
487,-103
488,-90
489,-101
490,-90
491,-97
492,-87
493,-103
494,-95
495,-99
496,-96
497,-103
498,-87
499,-88
500,-95
501,-103
502,-91
503,-102
504,-93
505,-119
506,-93
507,-94
508,-99
509,-113
510,-99
511,-97
512,-96
513,-83
514,-90
515,-85
516,-81
517,-78
518,-94
519,-85
