"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"26/11/2022";"0000";"16,6";"16,9";"16,5";"91,0";"91,0";"89,0";"15,1";"15,2";"15,0";"909,1";"909,4";"908,6";"4,3";"175,0";"10,4";"";"0,0"
"26/11/2022";"0100";"16,4";"16,6";"16,4";"93,0";"93,0";"91,0";"15,2";"15,2";"15,0";"909,8";"909,8";"909,0";"4,5";"162,0";"9,9";"";"0,0"
"26/11/2022";"0200";"16,2";"16,4";"16,2";"94,0";"94,0";"93,0";"15,3";"15,3";"15,2";"909,6";"909,9";"909,5";"4,8";"179,0";"7,9";"";"0,0"
"26/11/2022";"0300";"16,1";"16,3";"16,0";"94,0";"94,0";"93,0";"15,1";"15,3";"15,1";"909,1";"909,6";"909,1";"3,6";"176,0";"8,8";"";"0,0"
"26/11/2022";"0400";"15,9";"16,1";"15,9";"94,0";"95,0";"93,0";"14,9";"15,1";"14,9";"908,6";"909,1";"908,5";"3,5";"207,0";"6,7";"";"0,0"
"26/11/2022";"0500";"15,7";"15,9";"15,6";"95,0";"95,0";"94,0";"14,8";"14,9";"14,8";"907,8";"908,6";"907,8";"3,9";"184,0";"6,5";"";"0,0"
"26/11/2022";"0600";"15,5";"15,7";"15,5";"95,0";"95,0";"94,0";"14,7";"14,8";"14,6";"907,2";"907,8";"907,2";"5,4";"184,0";"8,6";"";"0,0"
"26/11/2022";"0700";"15,5";"15,5";"15,4";"95,0";"95,0";"95,0";"14,7";"14,8";"14,6";"907,2";"907,4";"907,1";"4,4";"191,0";"8,1";"";"0,0"
"26/11/2022";"0800";"15,4";"15,5";"15,3";"95,0";"95,0";"95,0";"14,6";"14,7";"14,6";"907,8";"907,8";"907,2";"2,4";"164,0";"6,6";"";"0,0"
"26/11/2022";"0900";"16,2";"16,2";"15,4";"92,0";"96,0";"91,0";"14,8";"14,9";"14,6";"908,2";"908,2";"907,7";"3,0";"175,0";"5,1";"181,70";"0,0"
"26/11/2022";"1000";"18,2";"18,3";"16,2";"83,0";"92,0";"83,0";"15,3";"15,7";"14,5";"908,8";"908,8";"908,2";"3,6";"145,0";"7,2";"1018,30";"0,0"
"26/11/2022";"1100";"18,7";"19,8";"17,0";"78,0";"88,0";"77,0";"14,9";"16,2";"14,5";"909,3";"909,3";"908,8";"2,5";"136,0";"6,1";"1799,30";"0,0"
"26/11/2022";"1200";"18,8";"19,4";"18,6";"80,0";"83,0";"78,0";"15,2";"15,9";"14,9";"909,8";"909,9";"909,3";"1,6";"111,0";"4,6";"1230,80";"0,0"
"26/11/2022";"1300";"19,2";"19,9";"18,8";"78,0";"82,0";"77,0";"15,3";"16,1";"15,1";"910,0";"910,0";"909,8";"1,3";"148,0";"4,9";"1166,50";"0,0"
"26/11/2022";"1400";"20,2";"20,5";"19,2";"78,0";"82,0";"77,0";"16,3";"16,9";"15,3";"909,9";"910,1";"909,9";"1,9";"151,0";"3,2";"795,10";"0,0"
"26/11/2022";"1500";"20,8";"21,9";"20,0";"74,0";"79,0";"72,0";"16,1";"17,1";"15,8";"909,5";"909,9";"909,5";"1,7";"110,0";"4,8";"2111,70";"0,0"
"26/11/2022";"1600";"20,9";"21,5";"20,7";"77,0";"77,0";"73,0";"16,6";"17,1";"15,9";"909,0";"909,5";"909,0";"1,3";"68,0";"4,0";"954,30";"0,0"
"26/11/2022";"1700";"21,8";"22,2";"20,5";"73,0";"80,0";"73,0";"16,8";"17,6";"16,2";"908,1";"909,0";"908,1";"2,5";"127,0";"5,1";"1298,50";"0,0"
"26/11/2022";"1800";"22,4";"24,4";"21,6";"72,0";"75,0";"68,0";"17,1";"18,8";"16,7";"907,5";"908,1";"907,5";"3,5";"91,0";"6,2";"2374,90";"0,0"
"26/11/2022";"1900";"21,9";"22,4";"21,7";"75,0";"76,0";"71,0";"17,3";"17,5";"16,6";"907,4";"907,7";"907,3";"3,4";"131,0";"7,4";"618,30";"0,0"
"26/11/2022";"2000";"21,2";"21,9";"21,2";"78,0";"78,0";"73,0";"17,1";"17,4";"16,7";"908,0";"908,0";"907,4";"2,5";"101,0";"5,6";"272,70";"0,0"
"26/11/2022";"2100";"20,2";"21,1";"20,1";"84,0";"84,0";"77,0";"17,4";"17,4";"16,9";"908,4";"908,4";"908,0";"2,0";"88,0";"4,7";"36,50";"0,0"
"26/11/2022";"2200";"19,8";"20,3";"19,8";"88,0";"88,0";"84,0";"17,8";"17,8";"17,4";"908,5";"908,6";"908,2";"3,8";"118,0";"4,8";"";"0,4"
"26/11/2022";"2300";"18,8";"20,1";"18,8";"94,0";"94,0";"86,0";"17,8";"18,1";"17,6";"909,6";"909,6";"908,5";"4,1";"157,0";"7,4";"";"0,8"
"27/11/2022";"0000";"17,9";"18,8";"17,9";"96,0";"96,0";"94,0";"17,3";"17,9";"17,2";"909,9";"910,0";"909,5";"3,5";"175,0";"6,2";"";"2,8"
"27/11/2022";"0100";"17,5";"18,0";"17,4";"97,0";"97,0";"96,0";"17,0";"17,4";"16,9";"909,6";"910,0";"909,6";"2,0";"174,0";"5,7";"";"1,0"
"27/11/2022";"0200";"17,4";"17,5";"17,3";"96,0";"97,0";"96,0";"16,8";"17,1";"16,7";"909,2";"909,6";"909,2";"1,2";"244,0";"6,0";"";"0,0"
"27/11/2022";"0300";"17,0";"17,4";"17,0";"95,0";"96,0";"95,0";"16,3";"16,7";"16,3";"908,7";"909,3";"908,7";"1,5";"202,0";"3,9";"0,70";"0,0"
"27/11/2022";"0400";"16,8";"17,1";"16,8";"96,0";"96,0";"95,0";"16,2";"16,4";"16,1";"908,0";"908,7";"908,0";"2,3";"204,0";"4,0";"";"0,0"
"27/11/2022";"0500";"16,5";"16,8";"16,5";"97,0";"97,0";"96,0";"16,0";"16,3";"16,0";"907,7";"908,0";"907,6";"2,2";"186,0";"3,5";"";"0,0"
"27/11/2022";"0600";"16,4";"16,5";"16,3";"97,0";"97,0";"97,0";"15,9";"16,0";"15,9";"907,5";"907,8";"907,5";"1,8";"207,0";"3,0";"";"0,0"
"27/11/2022";"0700";"16,3";"16,4";"16,3";"98,0";"98,0";"97,0";"16,0";"16,0";"15,9";"907,3";"907,5";"907,2";"2,8";"197,0";"6,0";"";"0,0"
"27/11/2022";"0800";"16,3";"16,4";"16,2";"98,0";"98,0";"98,0";"16,0";"16,0";"15,9";"907,6";"907,6";"907,2";"0,6";"237,0";"4,9";"0,60";"0,0"
"27/11/2022";"0900";"16,5";"16,6";"16,2";"98,0";"98,0";"98,0";"16,2";"16,2";"15,9";"908,1";"908,1";"907,6";"1,0";"225,0";"4,0";"83,30";"0,0"
"27/11/2022";"1000";"16,7";"16,7";"16,4";"98,0";"98,0";"98,0";"16,4";"16,4";"16,1";"908,6";"908,6";"908,0";"1,7";"222,0";"3,3";"422,30";"0,0"
