id,GW RSSI
0,-101
1,-90
2,-94
3,-98
4,-98
5,-98
6,-102
7,-102
8,-93
9,-95
10,-94
11,-96
12,-99
13,-96
14,-100
15,-95
16,-96
18,-93
19,-93
20,-92
21,-93
22,-92
23,-91
24,-90
25,-92
26,-98
27,-92
28,-93
29,-95
30,-90
31,-94
32,-93
33,-91
34,-96
35,-88
37,-89
38,-93
39,-94
40,-93
41,-90
42,-93
43,-92
44,-91
45,-89
46,-90
47,-90
48,-90
49,-88
50,-90
51,-89
52,-91
53,-92
54,-93
55,-95
56,-93
57,-94
58,-94
59,-94
60,-94
61,-89
62,-92
63,-94
64,-96
65,-96
66,-95
67,-87
68,-95
69,-93
70,-100
71,-88
72,-91
73,-94
74,-93
75,-91
77,-95
78,-95
79,-92
80,-96
81,-90
82,-94
83,-89
84,-90
85,-94
86,-91
87,-91
88,-89
89,-90
90,-92
91,-93
92,-92
93,-95
94,-93
95,-91
96,-91
97,-90
98,-96
99,-89
100,-95
101,-96
102,-93
103,-93
104,-94
105,-91
106,-95
107,-91
108,-96
109,-98
110,-99
111,-96
112,-97
113,-92
114,-90
115,-91
116,-97
117,-93
118,-90
119,-93
120,-94
121,-89
122,-94
123,-91
124,-94
125,-90
126,-90
127,-94
128,-93
129,-90
130,-95
131,-92
132,-93
133,-92
134,-97
135,-90
136,-93
137,-89
138,-93
139,-102
140,-96
141,-93
142,-101
143,-94
144,-90
145,-99
146,-96
147,-99
148,-96
149,-92
150,-98
151,-91
152,-91
153,-92
154,-97
155,-91
156,-92
157,-94
158,-90
159,-95
160,-96
161,-96
162,-95
163,-91
164,-96
165,-96
166,-91
167,-90
168,-92
169,-91
170,-99
171,-94
173,-91
174,-93
175,-92
176,-95
177,-91
178,-90
179,-91
180,-95
181,-92
182,-91
184,-97
185,-94
186,-97
187,-92
188,-95
189,-90
190,-91
191,-94
192,-97
193,-92
195,-92
196,-92
197,-91
198,-91
199,-92
200,-94
201,-91
202,-90
203,-94
204,-96
205,-94
206,-92
207,-91
208,-90
209,-91
210,-92
211,-93
212,-93
213,-90
214,-93
215,-92
216,-90
217,-90
218,-92
219,-91
220,-91
221,-92
223,-95
224,-93
225,-96
226,-91
227,-91
229,-94
231,-92
232,-91
233,-90
234,-95
235,-91
236,-94
237,-93
238,-93
239,-90
240,-95
241,-93
242,-89
243,-95
244,-97
245,-93
246,-88
247,-92
248,-93
249,-90
250,-88
251,-90
252,-93
253,-89
254,-87
255,-89
256,-95
257,-113
258,-93
259,-109
260,-91
261,-105
262,-93
263,-107
264,-97
265,-105
266,-101
267,-119
268,-96
269,-119
270,-93
271,-107
272,-97
273,-107
274,-95
275,-103
276,-97
277,-95
278,-97
279,-101
280,-97
281,-94
282,-97
283,-103
284,-96
285,-93
286,-94
287,-97
288,-93
289,-107
290,-90
291,-109
292,-96
293,-105
294,-93
295,-101
296,-97
297,-109
298,-96
299,-109
300,-94
301,-101
302,-99
303,-109
304,-93
305,-99
306,-95
307,-94
308,-96
309,-102
310,-95
311,-97
312,-97
313,-92
314,-95
315,-107
316,-91
317,-94
318,-96
319,-95
320,-96
321,-119
322,-91
323,-107
324,-99
325,-115
326,-95
327,-103
328,-99
329,-119
330,-96
332,-96
333,-107
334,-96
335,-119
336,-98
337,-94
338,-94
339,-92
340,-92
341,-101
342,-91
343,-103
344,-99
345,-103
346,-94
347,-103
348,-93
349,-103
350,-92
351,-100
352,-102
353,-89
354,-95
355,-107
356,-99
357,-109
358,-97
360,-97
361,-107
362,-101
363,-113
364,-97
365,-119
366,-91
367,-113
368,-91
369,-93
370,-90
371,-103
372,-92
373,-101
374,-93
375,-93
376,-93
377,-93
378,-91
379,-103
380,-94
381,-109
382,-95
383,-109
384,-102
385,-103
386,-97
387,-107
388,-99
389,-107
390,-94
391,-119
392,-97
393,-113
394,-95
395,-113
396,-101
397,-113
398,-102
399,-105
400,-96
401,-101
402,-102
403,-105
404,-97
405,-103
406,-91
407,-97
408,-97
409,-96
410,-96
411,-103
412,-96
413,-101
414,-97
415,-94
416,-91
417,-113
418,-99
419,-111
420,-97
421,-108
422,-93
423,-113
424,-94
425,-109
426,-99
427,-113
428,-95
429,-113
430,-96
431,-113
432,-99
433,-107
434,-94
435,-103
436,-93
437,-97
438,-93
439,-91
440,-93
441,-101
442,-90
443,-101
444,-93
445,-93
446,-94
447,-97
448,-101
449,-103
450,-93
451,-103
452,-93
453,-113
454,-97
455,-119
456,-96
457,-109
458,-101
459,-99
460,-93
461,-109
462,-91
463,-113
464,-97
465,-101
466,-97
467,-92
468,-101
469,-101
470,-102
471,-97
472,-97
473,-101
474,-90
475,-101
476,-95
477,-99
478,-94
479,-96
480,-101
481,-109
482,-100
483,-109
484,-99
485,-105
486,-97
487,-103
488,-101
489,-97
490,-93
491,-119
492,-95
493,-103
494,-97
495,-103
496,-95
497,-101
498,-91
499,-101
500,-99
501,-95
503,-92
504,-99
505,-101
506,-97
507,-98
508,-96
509,-101
510,-100
511,-107
512,-99
