Time,GPS Time,id,Latitude,Longitude,Altitude,GPS Precision,# Satellites,ED RSSI
15:21:47,18:21:47,0,-21.77889585,-43.373282,929.8,1,13,-72
15:21:55,18:21:47,1,-21.77889585,-43.373282,929.8,1,13,-71
15:22:03,18:21:55,2,-21.7788959,-43.373282,929.7,1,13,-73
15:22:12,18:22:03,3,-21.778895883333334,-43.37328196666667,929.7,1,13,-74
15:22:20,18:22:12,4,-21.778895916666666,-43.373281983333335,929.7,1,13,-72
15:22:28,18:22:20,5,-21.778896,-43.37328206666667,929.7,1,13,-73
15:22:36,18:22:28,6,-21.778896016666668,-43.37328206666667,929.7,1,13,-72
15:22:44,18:22:36,7,-21.7788961,-43.373282116666665,929.7,1,13,-72
15:22:52,18:22:44,8,-21.778896116666665,-43.373282116666665,929.7,1,13,-73
15:23:00,18:22:52,9,-21.778896083333333,-43.37328206666667,929.7,1,13,-74
15:23:08,18:23:00,10,-21.778896066666668,-43.37328205,929.7,1,13,-74
15:23:17,18:23:08,11,-21.778896133333333,-43.37328205,929.7,1,13,-72
15:23:25,18:23:17,12,-21.778896166666666,-43.373282116666665,929.7,1,13,-73
15:23:33,18:23:25,13,-21.7788962,-43.37328216666667,929.7,1,13,-74
15:23:41,18:23:33,14,-21.778896183333334,-43.37328221666667,929.7,1,13,-73
15:23:49,18:23:41,15,-21.778896033333332,-43.37328215,929.7,1,13,-72
15:23:57,18:23:49,16,-21.77889605,-43.37328213333333,929.7,1,13,-72
15:24:05,18:23:57,17,-21.778895983333335,-43.37328213333333,929.7,1,13,-73
15:24:13,18:24:05,18,-21.778895966666667,-43.37328218333333,929.8,1,13,-71
15:24:21,18:24:13,19,-21.778895933333335,-43.37328218333333,929.8,1,13,-71
15:24:30,18:24:21,20,-21.778895933333335,-43.37328221666667,929.8,1,13,-73
15:24:38,18:24:30,21,-21.77889585,-43.37328216666667,929.8,1,13,-74
15:24:46,18:24:38,22,-21.77889585,-43.373282116666665,929.8,1,13,-73
15:24:54,18:24:46,23,-21.77889576666667,-43.373282116666665,929.8,1,13,-73
15:25:02,18:24:54,24,-21.77889568333333,-43.37328203333333,929.8,1,13,-74
15:25:10,18:25:02,25,-21.778895666666667,-43.373282116666665,929.8,1,13,-73
15:25:18,18:25:10,26,-21.778895633333335,-43.37328203333333,929.8,1,13,-71
15:25:26,18:25:18,27,-21.77889555,-43.373282,929.8,1,13,-72
15:25:34,18:25:26,28,-21.778895533333333,-43.373281983333335,929.8,1,13,-72
15:25:43,18:25:34,29,-21.778895583333334,-43.373282016666664,929.8,1,13,-72
15:25:51,18:25:43,30,-21.778895533333333,-43.37328205,929.8,1,13,-74
15:25:59,18:25:51,31,-21.778895483333333,-43.37328196666667,929.8,1,13,-72
15:26:07,18:25:59,32,-21.77889538333333,-43.373281866666666,929.8,1,13,-75
15:26:15,18:26:07,33,-21.778895366666667,-43.37328181666667,929.8,1,13,-75
15:26:23,18:26:15,34,-21.778895333333335,-43.37328181666667,929.8,1,13,-73
15:26:31,18:26:23,35,-21.778895283333334,-43.37328175,929.8,1,13,-74
15:26:39,18:26:31,36,-21.778895183333333,-43.373281666666664,929.8,1,13,-73
15:26:47,18:26:39,37,-21.778895133333332,-43.37328156666667,929.8,1,13,-72
15:26:56,18:26:47,38,-21.778895116666668,-43.37328156666667,929.8,1,13,-73
15:27:04,18:26:56,39,-21.778895066666667,-43.37328155,929.9,1,13,-72
15:27:12,18:27:04,40,-21.77889508333333,-43.37328153333333,929.9,1,13,-73
15:27:20,18:27:12,41,-21.77889515,-43.37328156666667,929.8,1,13,-74
15:27:28,18:27:20,42,-21.778895133333332,-43.37328156666667,929.8,1,13,-75
15:27:36,18:27:28,43,-21.778895116666668,-43.37328156666667,929.8,1,13,-71
15:27:44,18:27:36,44,-21.778895116666668,-43.3732815,929.8,1,13,-73
15:27:52,18:27:44,45,-21.77889508333333,-43.37328145,929.8,1,13,-71
15:28:00,18:27:52,46,-21.778895033333335,-43.373281483333336,929.8,1,12,-72
15:28:09,18:28:00,47,-21.778895016666667,-43.37328146666667,929.8,1,12,-72
15:28:17,18:28:09,48,-21.778895033333335,-43.373281416666664,929.8,1,12,-72
15:28:25,18:28:17,49,-21.778895016666667,-43.37328135,929.8,1,12,-73
15:28:33,18:28:25,50,-21.778894983333334,-43.37328135,929.8,1,12,-73
15:28:41,18:28:33,51,-21.778894916666665,-43.373281383333335,929.8,1,12,-72
15:28:49,18:28:41,52,-21.778894916666665,-43.37328135,929.8,1,12,-72
15:28:57,18:28:49,53,-21.778894933333333,-43.373281283333334,929.8,1,12,-71
15:29:05,18:28:57,54,-21.778894966666666,-43.37328123333333,929.8,1,12,-72
15:29:14,18:29:05,55,-21.778894933333333,-43.373281266666666,929.8,1,12,-73
15:29:22,18:29:14,56,-21.778894916666665,-43.373281266666666,929.8,1,12,-72
15:29:30,18:29:22,57,-21.77889486666667,-43.373281283333334,929.8,1,12,-75
15:29:38,18:29:30,58,-21.778894833333332,-43.373281283333334,929.9,1,12,-74
15:29:46,18:29:38,59,-21.77889485,-43.373281266666666,929.9,1,12,-73
15:29:54,18:29:46,60,-21.77889486666667,-43.37328121666667,929.8,1,12,-74
