id,GW RSSI
0,-121
1,-118
2,-120
3,-119
4,-112
5,-120
6,-120
7,-118
8,-117
9,-117
10,-120
11,-120
12,-121
13,-120
14,-117
15,-119
16,-120
19,-119
21,-120
22,-118
24,-121
25,-118
26,-117
27,-119
28,-119
29,-116
30,-115
31,-119
32,-121
33,-118
34,-120
35,-121
36,-117
37,-118
38,-110
39,-117
40,-121
41,-120
42,-118
43,-119
44,-119
45,-118
46,-120
47,-118
48,-119
49,-117
50,-119
52,-119
53,-120
54,-118
55,-115
56,-119
57,-119
58,-115
59,-118
60,-119
61,-120
62,-120
63,-118
64,-123
66,-119
67,-112
69,-113
70,-120
71,-111
72,-119
73,-119
74,-120
75,-119
76,-112
77,-116
78,-120
79,-119
80,-115
81,-120
82,-119
83,-120
84,-119
86,-106
87,-119
88,-120
89,-120
90,-121
91,-117
92,-115
93,-114
94,-119
95,-118
96,-120
97,-120
98,-120
99,-119
100,-118
101,-119
102,-119
103,-119
104,-120
105,-112
106,-115
107,-119
108,-119
110,-119
111,-118
112,-120
113,-120
114,-119
115,-121
116,-119
117,-118
118,-118
119,-112
120,-120
121,-120
122,-119
123,-119
124,-123
125,-119
126,-119
128,-120
129,-121
130,-117
131,-118
133,-120
134,-120
135,-117
136,-119
137,-119
138,-120
139,-118
140,-120
141,-119
142,-120
143,-119
144,-121
145,-115
146,-117
147,-118
149,-119
150,-120
151,-118
153,-121
154,-120
155,-119
156,-120
157,-114
158,-123
160,-119
161,-119
162,-121
163,-119
164,-120
165,-119
166,-119
167,-119
169,-121
170,-111
171,-119
172,-118
173,-118
174,-119
176,-120
177,-118
178,-118
179,-121
180,-118
181,-119
182,-120
183,-121
184,-118
185,-119
186,-117
187,-117
188,-120
189,-119
190,-121
192,-120
194,-120
196,-119
197,-119
198,-120
199,-120
200,-119
201,-117
202,-119
203,-119
204,-121
206,-120
207,-119
208,-117
209,-120
210,-120
211,-119
212,-107
213,-119
214,-120
215,-118
216,-113
217,-119
218,-121
219,-119
220,-118
221,-117
222,-119
223,-117
224,-121
225,-117
226,-119
227,-119
228,-119
229,-123
230,-119
231,-117
232,-119
233,-112
234,-120
235,-120
236,-119
237,-120
238,-120
239,-118
240,-120
241,-119
242,-112
244,-120
245,-119
246,-119
247,-120
248,-118
249,-118
250,-120
251,-120
252,-118
253,-121
254,-119
255,-120
256,-118
258,-119
259,-117
260,-115
261,-118
262,-120
263,-121
264,-117
265,-121
266,-119
267,-118
268,-112
269,-119
270,-119
271,-120
272,-119
273,-121
274,-117
275,-119
276,-119
277,-120
278,-121
279,-119
280,-120
281,-120
282,-118
284,-120
285,-121
286,-119
287,-121
288,-121
290,-120
291,-113
292,-120
294,-119
295,-120
296,-120
297,-120
298,-117
299,-121
302,-119
304,-121
305,-119
306,-119
307,-121
309,-119
310,-120
311,-121
312,-120
313,-121
314,-121
316,-107
317,-121
318,-119
319,-119
320,-120
321,-121
322,-120
323,-123
324,-118
325,-120
326,-121
327,-120
328,-118
329,-120
331,-120
332,-119
334,-120
335,-120
336,-120
337,-120
339,-119
340,-109
341,-120
345,-119
346,-119
347,-121
348,-121
349,-116
350,-120
351,-120
352,-121
353,-121
354,-118
355,-115
356,-119
357,-115
358,-119
359,-119
360,-120
361,-112
362,-121
363,-120
364,-119
365,-120
367,-119
368,-119
369,-121
370,-121
371,-118
372,-120
373,-110
374,-118
375,-120
376,-120
377,-120
378,-119
379,-121
380,-120
381,-120
382,-118
383,-120
384,-119
385,-120
386,-118
387,-118
388,-119
389,-120
390,-120
392,-119
393,-119
394,-112
395,-120
397,-120
398,-120
399,-121
400,-113
401,-120
402,-120
403,-121
404,-120
405,-119
406,-120
407,-121
408,-120
410,-120
411,-121
412,-118
413,-119
414,-120
415,-110
416,-117
417,-120
418,-121
419,-119
420,-121
421,-121
422,-114
423,-119
424,-120
425,-121
426,-120
427,-120
428,-120
429,-120
430,-118
431,-110
433,-120
434,-119
435,-119
436,-112
437,-120
438,-120
439,-118
440,-120
442,-123
443,-120
445,-119
446,-119
448,-120
449,-121
450,-119
451,-121
452,-120
453,-113
454,-118
456,-120
457,-120
459,-121
460,-119
461,-119
462,-121
463,-119
464,-120
465,-121
466,-121
467,-121
468,-119
469,-119
470,-121
471,-118
472,-120
473,-119
474,-115
475,-123
476,-120
477,-121
478,-119
479,-119
480,-119
481,-120
482,-118
483,-121
484,-120
485,-121
486,-121
487,-119
488,-119
489,-121
490,-120
491,-123
492,-121
493,-120
494,-119
495,-120
496,-119
497,-120
498,-120
499,-113
500,-120
501,-119
502,-119
503,-119
506,-121
507,-117
508,-120
510,-120
511,-119
512,-120
513,-119
514,-118
515,-120
516,-120
517,-118
518,-118
519,-118
520,-121
521,-119
522,-120
523,-119
524,-120
525,-117
526,-120
527,-100
528,-121
529,-120
530,-120
531,-116
532,-119
533,-119
534,-120
535,-120
537,-116
538,-120
539,-118
540,-117
541,-118
542,-117
543,-118
544,-120
545,-118
546,-119
547,-117
549,-120
550,-113
551,-119
552,-106
553,-120
554,-117
556,-119
557,-118
558,-116
559,-110
